Item,resp1,resp2,resp3,resp4
1,playful,comforting,irritated,bored
2,terrified,upset,arrogant,annoyed
3,joking,flustered,desire,convinced
4,joking,insisting,amused,relaxed
5,irritated,sarcastic,worried,friendly
6,aghast,fantasizing,impatient,alarmed
7,apologetic,friendly,uneasy,dispirited
8,despondent,relieved,shy,excited
9,annoyed,hostile,horrified,preoccupied
10,cautious,insisting,bored,aghast
11,terrified,amused,regretful,flirtatious
12,indifferent,embarrassed,sceptical,dispirited
13,decisive,anticipating,threatening,shy
14,irritated,disappointed,depressed,accusing
15,contemplative,flustered,encouraging,amused
16,irritated,thoughtful,encouraging,sympathetic
17,doubtful,affectionate,playful,aghast
18,decisive,amused,aghast,bored
19,arrogant,grateful,sarcastic,tentative
20,dominant,friendly,guilty,horrified
21,embarrassed,fantasizing,confused,panicked
22,preoccupied,grateful,insisting,imploring
23,contented,apologetic,defiant,curious
24,pensive,irritated,excited,hostile
25,panicked,incredulous,despondent,interested
26,alarmed,shy,hostile,anxious
27,joking,cautious,arrogant,reassuring
28,interested,joking,affectionate,contented
29,impatient,aghast,irritated,reflective
30,grateful,flirtatious,hostile,disappointed
31,ashamed,confident,joking,dispirited
32,serious,ashamed,bewildered,alarmed
33,embarrassed,guilty,fantasizing,concerned
34,aghast,baffled,distrustful,terrified
35,puzzled,nervous,insisting,contemplative
36,ashamed,nervous,suspicious,indecisive
